Len Willis,22,160,44,basketball
Inger Chang,50,174,82,aquatics
Emilee Kidd,20,188,75,athletics
Kathaleen Hill,29,187,41,softball
Jerome Miles,24,175,75,canoeing
Moises Sullivan,18,170,82,judo
Lindsay Sandoval,46,182,40,sailing
Clarence Cox,20,200,74,weightlifting
Daniele Sandoval,18,161,72,tennis
Lashell Campos,19,179,65,baseball
Fermina Vega,16,166,88,handball
Wyatt Glenn,31,186,53,handball
Tyson Burt,22,181,68,boxing
Bryant Mcdowell,50,183,40,volleyball
Trevor Byers,35,155,39,tennis
Stefan Ewing,40,172,52,volleyball
Herschel Glover,27,200,83,weightlifting
Terry Pratt,34,154,47,football
Tambra Park,22,190,55,weightlifting
Isela Hampton,30,156,39,football
Annis Pollard,32,153,50,sailing
Vertie Vang,26,199,40,badminton
Stacy Swanson,42,167,63,table tennis
Ricardo Carey,44,156,71,boxing
Issac Ramirez,34,188,79,taekwondo
Elliot Everett,38,191,81,hockey
Les Roy,50,176,40,sailing
Irwin Lawrence,26,198,88,athletics
Sydney Schroeder,26,172,81,basketball
Terica Maynard,33,182,38,athletics
Conrad Shannon,28,191,79,cycling
Gita William,22,175,77,sailing
Shakita Mcguire,35,164,68,canoeing
Lisandra Velez,38,192,79,tennis
Lemuel Payne,42,175,63,boxing
Signe Graham,48,173,47,triathlon
Christene Walter,25,185,68,equestrian
Emely Hurst,45,164,38,badminton
Jessika Colon,42,171,59,shooting
Freeda Watkins,38,167,72,tennis
Cedric Torres,40,182,77,taekwondo
Quinton Gardner,19,155,69,handball
Carlena Barton,20,160,85,badminton
Garth Hernandez,19,195,49,judo
Curtis Riley,21,199,53,cycling
Renetta Steele,31,198,72,weightlifting
Erline Hubbard,30,156,40,judo
Zack Ballard,26,159,80,badminton
Alica Benson,34,173,41,weightlifting
Peg Snow,36,165,90,tennis
Mckenzie Mayer,42,168,42,weightlifting
Maple Steele,38,179,61,judo
Rodrigo Donovan,25,153,62,table tennis
Nickie Pittman,25,184,66,taekwondo
Harland Montoya,36,188,89,gymnastics
Johnathon York,19,161,49,equestrian
Drucilla Joyner,38,156,45,sailing
Dale Leblanc,18,158,68,aquatics
Lorilee Bishop,44,196,86,cycling
Tereasa Rivas,48,152,70,rowing
Iluminada Montgomery,42,159,44,gymnastics
Dung Gonzalez,21,183,75,triathlon
Frederica Arnold,27,186,57,weightlifting
Cicely Crane,16,191,53,football
Isaias Francis,20,191,84,gymnastics
Nenita Hardy,23,157,90,boxing
Joie Cameron,39,189,45,softball
Nguyet Acevedo,47,195,71,equestrian
Ronald Chapman,17,163,56,judo
Fred Macdonald,29,191,79,fencing
Jimmie Bauer,31,199,74,badminton
France Joseph,37,170,64,sailing
Alvera Hutchinson,16,168,49,archery
Gail Schultz,27,153,89,hockey
Stefan Newton,37,192,78,weightlifting
Yajaira Wheeler,47,195,66,baseball
Perry Morris,33,165,59,athletics
Shelby Butler,27,193,42,hockey
Larita Conway,20,191,63,badminton
Lacresha Barton,24,181,44,judo
Trinidad Rodriquez,32,169,40,shooting
Krissy Lowery,45,189,51,football
Yoshie Chan,43,166,89,cycling
Dusty Lancaster,36,182,44,rowing
Lanelle Gamble,48,155,50,archery
Ema Ayala,26,184,89,volleyball
Lester Huffman,20,159,62,taekwondo
Weston Rowland,32,191,68,handball
Fredda Lang,17,158,82,triathlon
Chung Nielsen,39,194,81,canoeing
Keven Bowers,47,154,55,cycling
Felicidad Dixon,19,177,61,basketball
Barney Hall,48,196,89,taekwondo
Marion Williamson,25,150,69,weightlifting
Javier Vang,35,160,53,handball
Orval Branch,34,176,59,handball
Lang Riddle,29,177,45,fencing
Clarine Trujillo,41,179,68,hockey
Daniele Ingram,16,154,42,taekwondo
Russel Brady,35,193,84,badminton
Christeen Reese,23,180,90,taekwondo
Monserrate Hester,26,157,84,softball
Felton Dunlap,37,181,82,taekwondo
Roman Nolan,25,195,68,archery
Edward Odom,38,168,74,triathlon
Jackelyn Mccormick,35,152,85,volleyball
Dalton Figueroa,35,182,76,basketball
Anneliese Rollins,22,174,83,equestrian
Thomasine Workman,27,185,77,handball
Chantell Petty,42,165,47,taekwondo
Oliver Matthews,29,164,74,boxing
Stephan Nolan,38,187,89,archery
Toney Spears,31,185,42,judo
Rashad Blair,26,168,79,shooting
Jolyn Patrick,47,156,46,athletics
Russell Lowe,22,199,81,judo
Mila May,48,167,53,tennis
Babette Wolf,36,194,60,fencing
Yanira Conley,48,161,55,gymnastics
Felton Mcmillan,49,176,43,hockey
Zenobia Pope,19,174,78,equestrian
Stefania O'connor,21,183,61,table tennis
Barrett Paul,45,195,39,athletics
Manie Crane,40,189,83,boxing
Vanesa Chan,16,152,62,taekwondo
Kali Mueller,39,189,78,rowing
Mike Brewer,40,167,80,archery
Lonny Warner,48,196,41,rowing
Frida Bruce,45,158,67,judo
Krissy Warren,49,158,88,weightlifting
Edward Peterson,24,154,88,modern pentathlon
Harlan Farrell,28,175,90,rowing
Moses Mayo,19,161,41,canoeing
Cedric Mcfarland,44,185,88,shooting
Deloise Sweet,37,152,62,shooting
Terry Pacheco,44,165,72,modern pentathlon
Floyd Pierce,17,185,66,athletics
Katlyn Wright,35,161,83,weightlifting
Buford Hardin,48,164,90,hockey
Kathey Wright,44,187,88,judo
Mikki Gardner,41,170,56,equestrian
Kyle Alvarez,41,179,78,weightlifting
Lang Strong,26,161,57,table tennis
Thao Hendrix,48,193,88,softball
Adena Lawrence,33,174,71,boxing
Neta Ball,48,186,55,taekwondo
Treena Gray,46,196,49,tennis
Arla Vaughn,17,173,47,weightlifting
Jae Hoffman,21,184,60,aquatics
Luciano Molina,35,170,76,baseball
Leif Buchanan,23,171,61,canoeing
Dorian Holt,17,158,79,judo
Greg Short,43,185,45,boxing
Branda Mckinney,39,188,90,cycling
Percy Adams,29,181,50,sailing
Jamar Emerson,44,153,71,archery
